week_end,active_stakers
5/4/25,17580
5/11/25,17478
5/18/25,17437
5/25/25,17427
6/1/25,17404
6/8/25,17400
6/15/25,17375
6/22/25,17408
6/29/25,17464
7/6/25,17438
7/13/25,17504
7/20/25,17446
7/27/25,17488
8/3/25,17914
8/10/25,18559
8/17/25,19554
8/24/25,21040
8/31/25,21959
9/7/25,23509
9/14/25,24234
9/21/25,25869
9/28/25,30010
10/5/25,30853
10/12/25,31400
10/19/25,32197
10/26/25,32648
11/2/25,33067
11/9/25,33411
11/16/25,33649
11/23/25,33740
11/30/25,33753
12/7/25,33775
12/14/25,33776
12/21/25,33787
12/28/25,33732
1/4/26,33696
1/11/26,33657
1/18/26,33218
1/25/26,33061
2/1/26,33016
2/8/26,32990
2/15/26,32978
2/22/26,32974
3/1/26,32968
3/8/26,32974
3/15/26,32972
3/22/26,32962
3/29/26,32957
4/5/26,32950
4/12/26,32933
4/19/26,32904
4/26/26,32853
5/3/26,32837
