week_end, total_dex_volume_bn , dydx_volume_bn ,market_share_pct
4/27/25, 23.56 , 0.29 ,1.24%
5/4/25, 55.76 , 0.78 ,1.40%
5/11/25, 80.55 , 1.29 ,1.61%
5/18/25, 84.55 , 1.31 ,1.55%
5/25/25, 111.97 , 1.37 ,1.22%
6/1/25, 85.06 , 1.26 ,1.49%
6/8/25, 71.50 , 1.10 ,1.54%
6/15/25, 95.38 , 1.24 ,1.30%
6/22/25, 103.44 , 1.26 ,1.22%
6/29/25, 73.62 , 0.88 ,1.19%
7/6/25, 66.04 , 1.02 ,1.54%
7/13/25, 86.90 , 1.58 ,1.82%
7/20/25, 137.81 , 2.23 ,1.62%
7/27/25, 160.27 , 2.26 ,1.41%
8/3/25, 123.50 , 1.71 ,1.39%
8/10/25, 105.90 , 1.70 ,1.61%
8/17/25, 162.84 , 2.24 ,1.38%
8/24/25, 152.50 , 2.06 ,1.35%
8/31/25, 162.83 , 1.71 ,1.05%
9/7/25, 110.74 , 1.38 ,1.25%
9/14/25, 117.41 , 1.90 ,1.62%
9/21/25, 144.02 , 1.51 ,1.05%
9/28/25, 463.34 , 1.85 ,0.40%
10/5/25, 757.69 , 1.83 ,0.24%
10/12/25, 259.15 , 2.08 ,0.80%
10/19/25, 277.54 , 1.83 ,0.66%
10/26/25, 309.53 , 1.68 ,0.54%
11/2/25, 250.95 , 1.73 ,0.69%
11/9/25, 341.97 , 1.76 ,0.51%
11/16/25, 323.41 , 3.93 ,1.22%
11/23/25, 329.92 , 4.28 ,1.30%
11/30/25, 255.47 , 4.33 ,1.69%
12/7/25, 275.83 , 2.70 ,0.98%
12/14/25, 254.51 , 3.67 ,1.44%
12/21/25, 234.11 , 2.51 ,1.07%
12/28/25, 166.42 , 1.85 ,1.11%
1/4/26, 156.79 , 1.66 ,1.06%
1/11/26, 221.76 , 2.05 ,0.93%
1/18/26, 212.76 , 2.06 ,0.97%
1/25/26, 210.82 , 1.75 ,0.83%
2/1/26, 277.75 , 3.08 ,1.11%
2/8/26, 315.70 , 3.24 ,1.03%
2/15/26, 162.97 , 1.33 ,0.81%
2/22/26, 134.68 , 0.79 ,0.59%
3/1/26, 166.91 , 1.20 ,0.72%
3/8/26, 168.60 , 1.29 ,0.76%
3/15/26, 157.76 , 1.13 ,0.72%
3/22/26, 159.54 , 1.07 ,0.67%
3/29/26, 156.55 , 0.98 ,0.62%
4/5/26, 134.42 , 0.81 ,0.60%
4/12/26, 145.24 , 0.94 ,0.65%
4/19/26, 137.88 , 1.26 ,0.92%
